# t (s)	mx ()	my ()	mz ()	m_zrange0-20_x ()	m_zrange0-20_y ()	m_zrange0-20_z ()	m_zrange21-31_x ()	m_zrange21-31_y ()	m_zrange21-31_z ()	m_zrange32-52_x ()	m_zrange32-52_y ()	m_zrange32-52_z ()
1.12000000000016e-09	0.29175445	0.052965958	-0.0042180973	0.58756167	0.077279255	-0.0011855245	-0.8331233	-0.033693556	-0.017192002	0.5875616	0.07727901	-0.0011855274
1.130000000000163e-09	0.28696713	0.04829502	-0.0040803757	0.584741	0.06876321	-0.00080077985	-0.8467347	-0.023918092	-0.01801482	0.58474094	0.06876291	-0.0008007858
1.140000000000166e-09	0.284693	0.042976655	-0.0052401284	0.5856174	0.0599281	-0.002294817	-0.8620658	-0.016233187	-0.01806937	0.58561736	0.05992779	-0.002294833
1.1500000000001691e-09	0.28519347	0.039589565	-0.00730628	0.59010994	0.053876013	-0.005111606	-0.87743366	-0.009637748	-0.017546173	0.5901099	0.053875733	-0.0051116347
1.1600000000001722e-09	0.287942	0.039502162	-0.009918517	0.59718335	0.052536745	-0.008391256	-0.89143467	-0.0047352887	-0.018011216	0.5971832	0.052536536	-0.008391285
1.1700000000001753e-09	0.29194558	0.0421053	-0.012473413	0.6049346	0.05585416	-0.011194864	-0.90162104	-0.00446882	-0.020082254	0.60493445	0.055854015	-0.011194883
1.1800000000001783e-09	0.29697254	0.045835283	-0.014063982	0.612	0.06243093	-0.012447523	-0.9037426	-0.011380101	-0.023342583	0.612	0.062430847	-0.012447538
1.1900000000001814e-09	0.30308998	0.049208738	-0.013897686	0.6179174	0.07019816	-0.011205703	-0.89560163	-0.024907185	-0.027445108	0.6179174	0.07019813	-0.011205731
1.2000000000001845e-09	0.308829	0.050000645	-0.012155543	0.6218005	0.07600572	-0.0077686794	-0.88129103	-0.044019613	-0.032133985	0.6218004	0.07600576	-0.0077687404
1.2100000000001875e-09	0.31241858	0.04570152	-0.010013208	0.622426	0.076810494	-0.0039252792	-0.86512756	-0.0695943	-0.03636738	0.62242603	0.07681061	-0.003925371
1.2200000000001906e-09	0.31324428	0.035957716	-0.008587228	0.6194349	0.072014056	-0.0016845375	-0.8488696	-0.10107658	-0.037915245	0.61943495	0.07201428	-0.0016846366
1.2300000000001937e-09	0.31170753	0.023640286	-0.008503967	0.6140814	0.06439122	-0.0019403358	-0.8354462	-0.13463597	-0.03645914	0.6140814	0.06439153	-0.0019404066
